state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions,covid_restrictions
Massachusetts,2019-09-08,53,80,24,34,40,0,0,0,0,0,Most Restrictions
Massachusetts,2019-09-15,62,77,27,40,40,0,0,0,0,0,Most Restrictions
Massachusetts,2019-09-22,60,84,25,35,44,0,0,0,0,0,Most Restrictions
Massachusetts,2019-09-29,61,78,25,40,41,0,0,0,0,0,Most Restrictions
Massachusetts,2019-10-06,69,78,27,36,68,0,0,0,0,0,Most Restrictions
Massachusetts,2019-10-13,69,82,26,33,48,0,0,0,0,0,Most Restrictions
Massachusetts,2019-10-20,64,91,27,42,49,0,0,0,0,0,Most Restrictions
Massachusetts,2019-10-27,73,77,26,40,54,0,0,0,0,0,Most Restrictions
Massachusetts,2019-11-03,78,76,31,38,47,0,0,0,0,0,Most Restrictions
Massachusetts,2019-11-10,71,67,25,35,48,0,0,0,0,0,Most Restrictions
Massachusetts,2019-11-17,72,85,25,35,41,0,0,0,0,0,Most Restrictions
Massachusetts,2019-11-24,53,71,28,21,28,0,0,0,0,0,Most Restrictions
Massachusetts,2019-12-01,66,69,28,31,45,0,0,0,0,0,Most Restrictions
Massachusetts,2019-12-08,66,71,27,36,42,0,0,0,0,0,Most Restrictions
Massachusetts,2019-12-15,62,73,25,32,35,0,0,0,0,0,Most Restrictions
Massachusetts,2019-12-22,49,57,23,20,23,0,0,0,0,0,Most Restrictions
Massachusetts,2019-12-29,55,76,27,28,34,0,0,0,0,0,Most Restrictions
Massachusetts,2020-01-05,70,85,28,40,40,0,0,0,0,0,Most Restrictions
Massachusetts,2020-01-12,60,81,28,43,47,0,0,0,0,0,Most Restrictions
Massachusetts,2020-01-19,63,71,26,41,43,0,0,0,0,0,Most Restrictions
Massachusetts,2020-01-26,61,64,25,32,40,0,0,0,0,0,Most Restrictions
Massachusetts,2020-02-02,64,75,29,46,43,0,0,0,0,0,Most Restrictions
Massachusetts,2020-02-09,68,77,28,29,46,0,0,0,0,0,Most Restrictions
Massachusetts,2020-02-16,66,76,21,37,44,0,0,0,0,0,Most Restrictions
Massachusetts,2020-02-23,78,85,26,36,48,0,0,0,0,0,Most Restrictions
Massachusetts,2020-03-01,58,82,28,38,42,0,0,0,0,0,Most Restrictions
Massachusetts,2020-03-08,63,75,23,36,37,0,0,0,0,0,Most Restrictions
Massachusetts,2020-03-15,64,75,18,23,35,0,0,0,0,0,Most Restrictions
Massachusetts,2020-03-22,70,80,19,20,38,0,0,0,0,0,Most Restrictions
Massachusetts,2020-03-29,71,78,21,23,36,1,0,1,1,0,Most Restrictions
Massachusetts,2020-04-05,70,75,25,20,35,1,0,1,1,0,Most Restrictions
Massachusetts,2020-04-12,69,76,26,17,32,1,0,1,1,0,Most Restrictions
Massachusetts,2020-04-19,58,71,25,17,36,1,0,1,1,0,Most Restrictions
Massachusetts,2020-04-26,66,71,26,19,39,1,0,1,1,0,Most Restrictions
Massachusetts,2020-05-03,76,65,29,20,45,1,0,1,1,0,Most Restrictions
Massachusetts,2020-05-10,58,68,29,25,41,1,1,1,1,0,Most Restrictions
Massachusetts,2020-05-17,58,69,23,24,36,1,1,1,1,0,Most Restrictions
Massachusetts,2020-05-24,50,63,18,21,35,0,1,1,1,0,Most Restrictions
Massachusetts,2020-05-31,52,71,18,23,36,0,1,1,1,0,Most Restrictions
Massachusetts,2020-06-07,50,77,25,26,43,0,1,1,1,0,Most Restrictions
Massachusetts,2020-06-14,44,75,21,26,37,0,1,1,1,0,Most Restrictions
Massachusetts,2020-06-21,49,77,20,26,31,0,1,1,1,0,Most Restrictions
Massachusetts,2020-06-28,55,80,21,31,36,0,1,1,1,0,Most Restrictions
Massachusetts,2020-07-05,54,88,22,25,39,0,1,0,0,0,Most Restrictions
Massachusetts,2020-07-12,44,71,16,29,39,0,1,0,0,0,Most Restrictions
Massachusetts,2020-07-19,60,78,21,25,38,0,1,0,0,0,Most Restrictions
Massachusetts,2020-07-26,46,86,25,24,35,0,1,0,0,0,Most Restrictions
Massachusetts,2020-08-02,62,71,20,29,39,0,1,0,0,1,Most Restrictions
Massachusetts,2020-08-09,49,79,24,29,36,0,1,0,0,1,Most Restrictions
Massachusetts,2020-08-16,59,84,24,28,35,0,1,0,0,1,Most Restrictions
Massachusetts,2020-08-23,46,84,23,28,34,0,1,0,0,1,Most Restrictions
Massachusetts,2020-08-30,52,85,24,29,40,0,1,0,0,1,Most Restrictions
Massachusetts,2020-09-06,52,81,20,30,48,0,1,0,0,1,Most Restrictions
Massachusetts,2020-09-13,50,81,19,31,38,0,1,0,0,1,Most Restrictions
Massachusetts,2020-09-20,56,74,21,29,38,0,1,0,0,1,Most Restrictions
Massachusetts,2020-09-27,54,79,26,26,43,0,1,0,0,1,Most Restrictions
Massachusetts,2020-10-04,53,80,22,30,58,0,1,0,0,1,Most Restrictions
Massachusetts,2020-10-11,51,85,22,25,43,0,1,0,0,1,Most Restrictions
Massachusetts,2020-10-18,59,87,26,34,46,0,1,0,0,1,Most Restrictions
Massachusetts,2020-10-25,57,79,19,25,40,0,1,0,0,1,Most Restrictions
Massachusetts,2020-11-01,50,67,21,21,36,0,1,0,0,1,Most Restrictions
Massachusetts,2020-11-08,61,79,23,28,38,0,1,0,0,1,Most Restrictions
Massachusetts,2020-11-15,63,75,16,24,44,0,1,0,0,1,Most Restrictions
Massachusetts,2020-11-22,48,72,27,19,28,0,1,0,0,1,Most Restrictions
Massachusetts,2020-11-29,66,75,24,22,35,0,1,0,0,1,Most Restrictions
Massachusetts,2020-12-06,61,82,23,24,37,0,1,0,0,1,Most Restrictions
Massachusetts,2020-12-13,56,79,18,14,36,0,1,0,0,1,Most Restrictions
Massachusetts,2020-12-20,42,67,27,19,26,0,1,0,0,1,Most Restrictions
Massachusetts,2020-12-27,53,77,19,23,24,0,1,0,0,1,Most Restrictions
Massachusetts,2021-01-03,50,91,18,23,38,0,1,0,0,1,Most Restrictions
Massachusetts,2021-01-10,55,80,21,26,38,0,1,0,0,1,Most Restrictions
Massachusetts,2021-01-17,52,88,25,25,35,0,1,0,0,1,Most Restrictions
Massachusetts,2021-01-24,58,88,24,28,40,0,1,0,0,1,Most Restrictions
Massachusetts,2021-01-31,68,84,25,26,38,0,1,0,0,1,Most Restrictions
Massachusetts,2021-02-07,61,77,28,28,37,0,1,0,0,1,Most Restrictions
Massachusetts,2021-02-14,56,81,24,28,42,0,1,0,0,1,Most Restrictions
Massachusetts,2021-02-21,63,82,19,31,40,0,1,0,0,1,Most Restrictions
Massachusetts,2021-02-28,52,86,22,29,42,0,1,0,0,1,Most Restrictions
Massachusetts,2021-03-07,55,87,18,28,42,0,1,0,0,1,Most Restrictions
Massachusetts,2021-03-14,61,89,21,27,40,0,1,0,0,1,Most Restrictions
Massachusetts,2021-03-21,58,84,24,27,44,0,1,0,0,1,Most Restrictions
Massachusetts,2021-03-28,54,80,21,28,38,0,1,0,0,0,Most Restrictions
Massachusetts,2021-04-04,60,94,27,27,38,0,1,0,0,0,Most Restrictions
Massachusetts,2021-04-11,58,84,27,28,45,0,1,0,0,0,Most Restrictions
Massachusetts,2021-04-18,49,75,21,25,36,0,1,0,0,0,Most Restrictions
Massachusetts,2021-04-25,59,85,29,27,49,0,1,0,0,0,Most Restrictions
Massachusetts,2021-05-02,45,79,24,27,56,0,1,0,0,0,Most Restrictions
Massachusetts,2021-05-09,52,82,23,29,50,0,1,0,0,0,Most Restrictions
Massachusetts,2021-05-16,46,79,25,28,49,0,1,0,0,0,Most Restrictions
Massachusetts,2021-05-23,48,76,22,29,45,0,1,0,0,0,Most Restrictions
Massachusetts,2021-05-30,52,84,24,29,36,0,0,0,0,0,Most Restrictions
Massachusetts,2021-06-06,45,86,16,24,37,0,0,0,0,0,Most Restrictions
Massachusetts,2021-06-13,44,79,20,26,39,0,0,0,0,0,Most Restrictions
Massachusetts,2021-06-20,44,73,22,28,37,0,0,0,0,0,Most Restrictions
Massachusetts,2021-06-27,43,79,20,24,34,0,0,0,0,0,Most Restrictions
Massachusetts,2021-07-04,44,83,16,28,36,0,0,0,0,0,Most Restrictions
Massachusetts,2021-07-11,41,83,20,32,39,0,0,0,0,0,Most Restrictions
Massachusetts,2021-07-18,47,81,19,27,31,0,0,0,0,0,Most Restrictions
Massachusetts,2021-07-25,43,74,21,25,38,0,0,0,0,0,Most Restrictions
Massachusetts,2021-08-01,46,85,18,28,41,0,0,0,0,0,Most Restrictions
Massachusetts,2021-08-08,46,90,20,27,33,0,0,0,0,0,Most Restrictions
Massachusetts,2021-08-15,44,75,23,27,38,0,0,0,0,0,Most Restrictions
Massachusetts,2021-08-22,41,90,21,30,33,0,0,0,0,0,Most Restrictions
Massachusetts,2021-08-29,41,84,18,32,40,0,0,0,0,0,Most Restrictions
Massachusetts,2021-09-05,44,80,21,28,42,0,0,0,0,0,Most Restrictions
Massachusetts,2021-09-12,48,87,29,32,41,0,0,0,0,0,Most Restrictions
Massachusetts,2021-09-19,49,77,19,33,40,0,0,0,0,0,Most Restrictions
Massachusetts,2021-09-26,50,74,26,29,46,0,0,0,0,0,Most Restrictions
Massachusetts,2021-10-03,59,85,24,30,46,0,0,0,0,0,Most Restrictions
Massachusetts,2021-10-10,56,81,21,28,54,0,0,0,0,0,Most Restrictions
Massachusetts,2021-10-17,49,87,21,32,46,0,0,0,0,0,Most Restrictions
Massachusetts,2021-10-24,55,78,22,35,44,0,0,0,0,0,Most Restrictions
Massachusetts,2021-10-31,52,85,26,35,52,0,0,0,0,0,Most Restrictions
Massachusetts,2021-11-07,59,69,23,30,53,0,0,0,0,0,Most Restrictions
Massachusetts,2021-11-14,58,80,27,30,57,0,0,0,0,0,Most Restrictions
Massachusetts,2021-11-21,46,76,29,21,30,0,0,0,0,0,Most Restrictions
Massachusetts,2021-11-28,60,80,26,31,45,0,0,0,0,0,Most Restrictions
Massachusetts,2021-12-05,60,81,23,31,50,0,0,0,0,0,Most Restrictions
Massachusetts,2021-12-12,50,77,27,23,46,0,0,0,0,0,Most Restrictions
Massachusetts,2021-12-19,44,71,27,23,28,0,0,0,0,0,Most Restrictions
Massachusetts,2021-12-26,35,70,20,19,23,0,0,0,0,0,Most Restrictions
Massachusetts,2022-01-02,53,89,24,35,44,0,0,0,0,0,Most Restrictions
Massachusetts,2022-01-09,58,85,26,29,44,0,0,0,0,0,Most Restrictions
Massachusetts,2022-01-16,54,82,27,33,46,0,0,0,0,0,Most Restrictions
Massachusetts,2022-01-23,55,81,24,34,55,0,0,0,0,0,Most Restrictions
Massachusetts,2022-01-30,52,82,27,29,50,0,0,0,0,0,Most Restrictions
Massachusetts,2022-02-06,66,89,24,35,58,0,0,0,0,0,Most Restrictions
Massachusetts,2022-02-13,58,80,28,33,55,0,0,0,0,0,Most Restrictions
Massachusetts,2022-02-20,52,86,26,31,56,0,0,0,0,0,Most Restrictions
Massachusetts,2022-02-27,55,100,25,39,63,0,0,0,0,0,Most Restrictions
Massachusetts,2022-03-06,64,92,23,33,59,0,0,0,0,0,Most Restrictions
Massachusetts,2022-03-13,58,89,27,35,57,0,0,0,0,0,Most Restrictions
Massachusetts,2022-03-20,59,94,24,30,53,0,0,0,0,0,Most Restrictions
Massachusetts,2022-03-27,61,88,23,31,63,0,0,0,0,0,Most Restrictions
Massachusetts,2022-04-03,63,84,30,40,67,0,0,0,0,0,Most Restrictions
Massachusetts,2022-04-10,69,78,22,32,61,0,0,0,0,0,Most Restrictions
Massachusetts,2022-04-17,56,81,24,32,59,0,0,0,0,0,Most Restrictions
Massachusetts,2022-04-24,58,90,27,36,75,0,0,0,0,0,Most Restrictions
Massachusetts,2022-05-01,69,72,24,33,73,0,0,0,0,0,Most Restrictions
Massachusetts,2022-05-08,49,84,26,34,58,0,0,0,0,0,Most Restrictions
Massachusetts,2022-05-15,64,74,21,30,60,0,0,0,0,0,Most Restrictions
Massachusetts,2022-05-22,47,71,22,25,63,0,0,0,0,0,Most Restrictions
Massachusetts,2022-05-29,43,70,19,25,44,0,0,0,0,0,Most Restrictions
Massachusetts,2022-06-05,54,73,23,31,53,0,0,0,0,0,Most Restrictions
Massachusetts,2022-06-12,54,71,21,30,46,0,0,0,0,0,Most Restrictions
Massachusetts,2022-06-19,51,72,20,29,41,0,0,0,0,0,Most Restrictions
Massachusetts,2022-06-26,40,76,20,30,48,0,0,0,0,0,Most Restrictions
Massachusetts,2022-07-03,49,80,22,28,41,0,0,0,0,0,Most Restrictions
Massachusetts,2022-07-10,44,81,21,34,43,0,0,0,0,0,Most Restrictions
Massachusetts,2022-07-17,45,79,21,24,51,0,0,0,0,0,Most Restrictions
Massachusetts,2022-07-24,44,80,24,32,41,0,0,0,0,0,Most Restrictions
Massachusetts,2022-07-31,51,77,24,29,46,0,0,0,0,0,Most Restrictions
Massachusetts,2022-08-07,44,78,23,30,48,0,0,0,0,0,Most Restrictions
Massachusetts,2022-08-14,44,84,23,28,46,0,0,0,0,0,Most Restrictions
Massachusetts,2022-08-21,41,77,23,28,40,0,0,0,0,0,Most Restrictions
Massachusetts,2022-08-28,44,75,17,35,44,0,0,0,0,0,Most Restrictions
Massachusetts,2022-09-04,40,77,22,29,48,0,0,0,0,0,Most Restrictions
Massachusetts,2022-09-11,49,74,23,30,50,0,0,0,0,0,Most Restrictions
Massachusetts,2022-09-18,60,82,23,35,56,0,0,0,0,0,Most Restrictions
Massachusetts,2022-09-25,51,75,24,35,60,0,0,0,0,0,Most Restrictions
Massachusetts,2022-10-02,60,82,23,37,59,0,0,0,0,0,Most Restrictions
Massachusetts,2022-10-09,55,82,26,36,70,0,0,0,0,0,Most Restrictions
Massachusetts,2022-10-16,74,77,20,37,59,0,0,0,0,0,Most Restrictions
Massachusetts,2022-10-23,58,75,23,33,64,0,0,0,0,0,Most Restrictions
Massachusetts,2022-10-30,54,77,29,38,63,0,0,0,0,0,Most Restrictions
Massachusetts,2022-11-06,54,74,27,31,57,0,0,0,0,0,Most Restrictions
Massachusetts,2022-11-13,67,81,24,29,53,0,0,0,0,0,Most Restrictions
Massachusetts,2022-11-20,40,61,24,20,34,0,0,0,0,0,Most Restrictions
Massachusetts,2022-11-27,61,79,26,30,57,0,0,0,0,0,Most Restrictions
Massachusetts,2022-12-04,59,76,26,27,56,0,0,0,0,0,Most Restrictions
Massachusetts,2022-12-11,74,76,30,27,60,0,0,0,0,0,Most Restrictions
Massachusetts,2022-12-18,51,74,31,23,49,0,0,0,0,0,Most Restrictions
Massachusetts,2022-12-25,36,61,20,20,32,0,0,0,0,0,Most Restrictions
Massachusetts,2023-01-01,55,82,24,31,42,0,0,0,0,0,Most Restrictions
New York,2017-12-31,62,70,31,39,41,0,0,0,0,0,Most Restrictions
New York,2018-01-07,70,73,32,41,42,0,0,0,0,0,Most Restrictions
New York,2018-01-14,66,72,28,35,43,0,0,0,0,0,Most Restrictions
New York,2018-01-21,65,77,28,43,44,0,0,0,0,0,Most Restrictions
New York,2018-01-28,71,76,28,36,44,0,0,0,0,0,Most Restrictions
New York,2018-02-04,87,75,37,46,47,0,0,0,0,0,Most Restrictions
New York,2018-02-11,72,74,32,35,53,0,0,0,0,0,Most Restrictions
New York,2018-02-18,63,81,36,36,46,0,0,0,0,0,Most Restrictions
New York,2018-02-25,75,88,36,42,47,0,0,0,0,0,Most Restrictions
New York,2018-03-04,87,87,38,47,52,0,0,0,0,0,Most Restrictions
New York,2018-03-11,78,77,33,35,42,0,0,0,0,0,Most Restrictions
New York,2018-03-18,81,79,34,36,47,0,0,0,0,0,Most Restrictions
New York,2018-03-25,79,83,30,37,48,0,0,0,0,0,Most Restrictions
New York,2018-04-01,77,84,32,41,48,0,0,0,0,0,Most Restrictions
New York,2018-04-08,81,86,29,37,46,0,0,0,0,0,Most Restrictions
New York,2018-04-15,87,78,31,38,43,0,0,0,0,0,Most Restrictions
New York,2018-04-22,73,88,33,33,46,0,0,0,0,0,Most Restrictions
New York,2018-04-29,74,76,32,38,54,0,0,0,0,0,Most Restrictions
New York,2018-05-06,77,79,32,42,52,0,0,0,0,0,Most Restrictions
New York,2018-05-13,69,69,32,34,50,0,0,0,0,0,Most Restrictions
New York,2018-05-20,67,77,34,37,48,0,0,0,0,0,Most Restrictions
New York,2018-05-27,71,80,27,46,45,0,0,0,0,0,Most Restrictions
New York,2018-06-03,93,81,30,36,55,0,0,0,0,0,Most Restrictions
New York,2018-06-10,70,75,23,34,44,0,0,0,0,0,Most Restrictions
New York,2018-06-17,59,74,27,32,41,0,0,0,0,0,Most Restrictions
New York,2018-06-24,69,76,26,37,45,0,0,0,0,0,Most Restrictions
New York,2018-07-01,58,74,28,35,38,0,0,0,0,0,Most Restrictions
New York,2018-07-08,60,80,24,31,39,0,0,0,0,0,Most Restrictions
New York,2018-07-15,59,80,25,33,41,0,0,0,0,0,Most Restrictions
New York,2018-07-22,60,79,31,32,40,0,0,0,0,0,Most Restrictions
New York,2018-07-29,63,84,34,32,43,0,0,0,0,0,Most Restrictions
New York,2018-08-05,67,81,28,35,47,0,0,0,0,0,Most Restrictions
New York,2018-08-12,58,83,27,38,42,0,0,0,0,0,Most Restrictions
New York,2018-08-19,53,79,25,35,40,0,0,0,0,0,Most Restrictions
New York,2018-08-26,53,79,27,37,40,0,0,0,0,0,Most Restrictions
New York,2018-09-02,59,77,30,40,45,0,0,0,0,0,Most Restrictions
New York,2018-09-09,62,78,26,46,47,0,0,0,0,0,Most Restrictions
New York,2018-09-16,64,81,25,42,51,0,0,0,0,0,Most Restrictions
New York,2018-09-23,69,84,24,43,53,0,0,0,0,0,Most Restrictions
New York,2018-09-30,65,92,28,40,53,0,0,0,0,0,Most Restrictions
New York,2018-10-07,74,97,26,42,74,0,0,0,0,0,Most Restrictions
New York,2018-10-14,72,92,28,43,53,0,0,0,0,0,Most Restrictions
New York,2018-10-21,72,87,28,36,47,0,0,0,0,0,Most Restrictions
New York,2018-10-28,80,86,28,40,49,0,0,0,0,0,Most Restrictions
New York,2018-11-04,76,93,25,45,56,0,0,0,0,0,Most Restrictions
New York,2018-11-11,77,81,30,40,47,0,0,0,0,0,Most Restrictions
New York,2018-11-18,66,75,24,27,35,0,0,0,0,0,Most Restrictions
New York,2018-11-25,80,93,29,38,50,0,0,0,0,0,Most Restrictions
New York,2018-12-02,74,91,28,38,56,0,0,0,0,0,Most Restrictions
New York,2018-12-09,70,74,25,37,43,0,0,0,0,0,Most Restrictions
New York,2018-12-16,69,77,27,36,47,0,0,0,0,0,Most Restrictions
New York,2018-12-23,63,75,22,27,31,0,0,0,0,0,Most Restrictions
New York,2018-12-30,72,91,26,34,44,0,0,0,0,0,Most Restrictions
New York,2019-01-06,69,82,26,35,42,0,0,0,0,0,Most Restrictions
New York,2019-01-13,65,72,26,48,48,0,0,0,0,0,Most Restrictions
New York,2019-01-20,62,74,24,41,45,0,0,0,0,0,Most Restrictions
New York,2019-01-27,63,82,24,47,51,0,0,0,0,0,Most Restrictions
New York,2019-02-03,73,82,24,43,47,0,0,0,0,0,Most Restrictions
New York,2019-02-10,72,82,27,40,54,0,0,0,0,0,Most Restrictions
New York,2019-02-17,65,88,27,40,47,0,0,0,0,0,Most Restrictions
New York,2019-02-24,76,89,26,39,53,0,0,0,0,0,Most Restrictions
New York,2019-03-03,78,84,27,45,53,0,0,0,0,0,Most Restrictions
New York,2019-03-10,85,83,25,45,50,0,0,0,0,0,Most Restrictions
New York,2019-03-17,80,78,29,38,50,0,0,0,0,0,Most Restrictions
New York,2019-03-24,83,83,29,44,55,0,0,0,0,0,Most Restrictions
New York,2019-03-31,86,77,28,40,56,0,0,0,0,0,Most Restrictions
New York,2019-04-07,73,74,32,42,50,0,0,0,0,0,Most Restrictions
New York,2019-04-14,73,79,27,35,47,0,0,0,0,0,Most Restrictions
New York,2019-04-21,64,75,28,37,52,0,0,0,0,0,Most Restrictions
New York,2019-04-28,74,82,28,43,57,0,0,0,0,0,Most Restrictions
New York,2019-05-05,75,84,28,39,62,0,0,0,0,0,Most Restrictions
New York,2019-05-12,67,78,30,34,57,0,0,0,0,0,Most Restrictions
New York,2019-05-19,70,75,28,35,49,0,0,0,0,0,Most Restrictions
New York,2019-05-26,67,72,27,36,43,0,0,0,0,0,Most Restrictions
New York,2019-06-02,59,75,26,35,49,0,0,0,0,0,Most Restrictions
New York,2019-06-09,58,73,24,40,47,0,0,0,0,0,Most Restrictions
New York,2019-06-16,55,67,22,42,45,0,0,0,0,0,Most Restrictions
New York,2019-06-23,54,75,25,35,42,0,0,0,0,0,Most Restrictions
New York,2019-06-30,48,71,25,31,38,0,0,0,0,0,Most Restrictions
New York,2019-07-07,58,79,26,40,44,0,0,0,0,0,Most Restrictions
New York,2019-07-14,55,81,23,43,48,0,0,0,0,0,Most Restrictions
New York,2019-07-21,60,74,23,38,43,0,0,0,0,0,Most Restrictions
New York,2019-07-28,59,77,28,42,43,0,0,0,0,0,Most Restrictions
New York,2019-08-04,54,76,26,39,49,0,0,0,0,0,Most Restrictions
New York,2019-08-11,53,83,23,37,46,0,0,0,0,0,Most Restrictions
New York,2019-08-18,61,75,22,38,44,0,0,0,0,0,Most Restrictions
New York,2019-08-25,52,73,22,38,36,0,0,0,0,0,Most Restrictions
New York,2019-09-01,52,68,24,36,42,0,0,0,0,0,Most Restrictions
New York,2019-09-08,57,82,25,44,51,0,0,0,0,0,Most Restrictions
New York,2019-09-15,60,74,22,48,51,0,0,0,0,0,Most Restrictions
New York,2019-09-22,60,84,27,43,53,0,0,0,0,0,Most Restrictions
New York,2019-09-29,65,71,27,43,55,0,0,0,0,0,Most Restrictions
New York,2019-10-06,65,76,27,39,73,0,0,0,0,0,Most Restrictions
New York,2019-10-13,66,84,25,44,54,0,0,0,0,0,Most Restrictions
New York,2019-10-20,65,82,26,46,54,0,0,0,0,0,Most Restrictions
New York,2019-10-27,64,82,26,40,52,0,0,0,0,0,Most Restrictions
New York,2019-11-03,64,78,29,41,53,0,0,0,0,0,Most Restrictions
New York,2019-11-10,67,82,28,44,50,0,0,0,0,0,Most Restrictions
New York,2019-11-17,72,88,25,39,53,0,0,0,0,0,Most Restrictions
New York,2019-11-24,56,72,23,31,35,0,0,0,0,0,Most Restrictions
New York,2019-12-01,64,80,25,40,49,0,0,0,0,0,Most Restrictions
New York,2019-12-08,67,79,27,40,51,0,0,0,0,0,Most Restrictions
New York,2019-12-15,63,72,26,31,43,0,0,0,0,0,Most Restrictions
New York,2019-12-22,44,64,22,22,31,0,0,0,0,0,Most Restrictions
New York,2019-12-29,57,75,26,36,39,0,0,0,0,0,Most Restrictions
New York,2020-01-05,65,83,26,41,50,0,0,0,0,0,Most Restrictions
New York,2020-01-12,61,78,22,45,49,0,0,0,0,0,Most Restrictions
New York,2020-01-19,61,82,25,44,46,0,0,0,0,0,Most Restrictions
New York,2020-01-26,67,81,24,44,55,0,0,0,0,0,Most Restrictions
New York,2020-02-02,69,83,26,41,54,0,0,0,0,0,Most Restrictions
New York,2020-02-09,76,81,26,41,52,0,0,0,0,0,Most Restrictions
New York,2020-02-16,63,79,26,44,53,0,0,0,0,0,Most Restrictions
New York,2020-02-23,77,84,27,41,55,0,0,0,0,0,Most Restrictions
New York,2020-03-01,76,83,28,36,52,0,0,0,0,0,Most Restrictions
New York,2020-03-08,79,78,20,35,44,0,0,0,0,0,Most Restrictions
New York,2020-03-15,84,86,21,29,46,0,0,0,0,0,Most Restrictions
New York,2020-03-22,89,86,19,27,50,1,0,1,1,0,Most Restrictions
New York,2020-03-29,90,100,22,30,50,1,0,1,1,0,Most Restrictions
New York,2020-04-05,87,90,25,27,44,1,0,1,1,0,Most Restrictions
New York,2020-04-12,85,83,25,27,45,1,0,1,1,0,Most Restrictions
New York,2020-04-19,87,88,24,31,45,1,1,1,1,0,Most Restrictions
New York,2020-04-26,86,86,28,32,55,1,1,1,1,0,Most Restrictions
New York,2020-05-03,87,82,27,32,55,1,1,1,1,0,Most Restrictions
New York,2020-05-10,83,83,24,29,50,1,1,1,1,0,Most Restrictions
New York,2020-05-17,66,80,24,26,45,1,1,1,1,0,Most Restrictions
New York,2020-05-24,60,78,24,26,44,1,1,1,1,0,Most Restrictions
New York,2020-05-31,57,72,21,33,44,1,1,1,1,0,Most Restrictions
New York,2020-06-07,58,78,22,32,47,1,1,1,1,0,Most Restrictions
New York,2020-06-14,57,79,25,31,43,1,1,1,1,0,Most Restrictions
New York,2020-06-21,57,78,20,30,42,1,1,1,1,0,Most Restrictions
New York,2020-06-28,54,84,23,32,42,1,1,1,1,1,Most Restrictions
New York,2020-07-05,51,81,24,33,41,0,1,1,1,1,Most Restrictions
New York,2020-07-12,53,79,20,33,46,0,1,1,1,1,Most Restrictions
New York,2020-07-19,55,82,24,30,46,0,1,1,1,1,Most Restrictions
New York,2020-07-26,55,81,22,32,46,0,1,1,1,1,Most Restrictions
New York,2020-08-02,56,80,23,35,43,0,1,0,0,1,Most Restrictions
New York,2020-08-09,51,79,21,35,46,0,1,0,0,1,Most Restrictions
New York,2020-08-16,55,81,23,36,48,0,1,0,0,1,Most Restrictions
New York,2020-08-23,54,89,20,36,45,0,1,0,0,1,Most Restrictions
New York,2020-08-30,52,84,20,37,46,0,1,0,0,1,Most Restrictions
New York,2020-09-06,55,84,22,37,49,0,1,0,0,1,Most Restrictions
New York,2020-09-13,53,80,22,38,46,0,1,0,0,1,Most Restrictions
New York,2020-09-20,56,92,24,37,55,0,1,0,0,1,Most Restrictions
New York,2020-09-27,58,80,23,40,53,0,1,0,0,1,Most Restrictions
New York,2020-10-04,61,83,22,37,63,0,1,0,0,1,Most Restrictions
New York,2020-10-11,63,88,21,39,53,0,1,0,0,1,Most Restrictions
New York,2020-10-18,66,78,25,38,50,0,1,0,0,1,Most Restrictions
New York,2020-10-25,61,85,23,33,49,0,1,0,0,1,Most Restrictions
New York,2020-11-01,50,73,22,35,41,0,1,0,0,1,Most Restrictions
New York,2020-11-08,56,82,22,36,53,0,1,0,0,1,Most Restrictions
New York,2020-11-15,68,89,22,32,49,0,1,0,0,1,Most Restrictions
New York,2020-11-22,54,76,25,27,43,0,1,0,0,1,Most Restrictions
New York,2020-11-29,60,83,23,33,45,0,1,0,0,1,Most Restrictions
New York,2020-12-06,62,81,25,32,51,0,1,0,0,1,Most Restrictions
New York,2020-12-13,57,81,22,33,42,0,1,0,0,1,Most Restrictions
New York,2020-12-20,50,70,27,25,33,0,1,0,0,1,Most Restrictions
New York,2020-12-27,49,78,20,24,32,0,1,0,0,1,Most Restrictions
New York,2021-01-03,54,82,22,37,36,0,1,0,0,1,Most Restrictions
New York,2021-01-10,58,83,22,33,39,0,1,0,0,1,Most Restrictions
New York,2021-01-17,60,89,21,31,42,0,1,0,0,1,Most Restrictions
New York,2021-01-24,57,85,22,35,45,0,1,0,0,1,Most Restrictions
New York,2021-01-31,58,89,27,34,47,0,1,0,0,1,Most Restrictions
New York,2021-02-07,62,88,21,34,44,0,1,0,0,1,Most Restrictions
New York,2021-02-14,57,83,24,30,45,0,0,0,0,1,Most Restrictions
New York,2021-02-21,68,93,26,33,55,0,0,0,0,1,Most Restrictions
New York,2021-02-28,60,89,25,37,51,0,0,0,0,1,Most Restrictions
New York,2021-03-07,61,86,23,38,51,0,0,0,0,1,Most Restrictions
New York,2021-03-14,63,79,23,33,49,0,0,0,0,1,Most Restrictions
New York,2021-03-21,63,88,24,36,49,0,0,0,0,1,Most Restrictions
New York,2021-03-28,50,76,27,36,45,0,0,0,0,1,Most Restrictions
New York,2021-04-04,58,81,26,39,48,0,0,0,0,0,Most Restrictions
New York,2021-04-11,65,82,24,36,50,0,0,0,0,0,Most Restrictions
New York,2021-04-18,61,92,28,39,52,0,0,0,0,0,Most Restrictions
New York,2021-04-25,65,86,24,35,55,0,0,0,0,0,Most Restrictions
